user_id,email,password,name,phone,birth_date,role,status,created_at,updated_at,last_login_at
1,user_1@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,최하아,010-1808-8878,1991-08-18,ROLE_USER,ACTIVE,2024-07-26 00:00:00,2024-07-26 00:00:00,2026-06-23 15:39:00
2,user_2@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,최도빈,010-9513-2875,1987-10-24,ROLE_USER,ACTIVE,2024-07-04 00:00:00,2024-07-04 00:00:00,2026-06-28 13:42:00
3,user_3@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,신승우,010-6588-5137,1977-05-09,ROLE_USER,ACTIVE,2024-03-29 00:00:00,2024-03-29 00:00:00,2026-06-23 09:29:00
4,user_4@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,신예영,010-3318-7480,1972-01-28,ROLE_USER,ACTIVE,2024-05-16 00:00:00,2024-05-16 00:00:00,2026-06-04 14:27:00
5,user_5@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,한시원,010-4849-7537,1993-05-28,ROLE_USER,ACTIVE,2024-11-13 00:00:00,2024-11-13 00:00:00,2026-06-20 11:31:00
6,user_6@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,오은현,010-6770-1746,2001-07-14,ROLE_USER,ACTIVE,2025-09-11 00:00:00,2025-09-11 00:00:00,2026-06-29 10:42:00
7,user_7@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,정현빈,010-2675-8010,1987-05-25,ROLE_USER,ACTIVE,2024-06-23 00:00:00,2024-06-23 00:00:00,2026-06-27 10:11:00
8,user_8@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,임은아,010-2764-9626,1997-05-17,ROLE_USER,ACTIVE,2025-02-02 00:00:00,2025-02-02 00:00:00,2026-06-30 18:25:00
9,user_9@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,송하인,010-7617-4570,1989-07-06,ROLE_USER,ACTIVE,2024-11-13 00:00:00,2024-11-13 00:00:00,2026-06-22 19:21:00
10,user_10@test.com,$2a$10$7zB3qQzEcbB7mU5eL2n9fO0xH98o2tYpM.2s5lR7wE.2F8u7y6X1.,조현우,010-6910-2344,1973-11-12,ROLE_USER,ACTIVE,2025-06-22 00:00:00,2025-06-22 00:00:00,2026-06-27 18:12:00
